TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE
buxdwh,reporting,cube_daily_user,groups_private_user_added_another_user,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),108,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,education_topic_read_first_time,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),109,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,education_topic_read,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),110,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_created,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),111,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_chat_messages_sent,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),112,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_left,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),113,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_got_removed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),114,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_removed_another_user,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),115,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_got_added,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),116,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_added_another_user,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),117,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_followed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),118,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_user_unfollowed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),119,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day1,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),120,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day3,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),121,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day7,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),122,YES,(null),(null),(null),(null)
