,user_id,country_cd,gender,nationality,platform_type_name,trading_experience,title,network,bux_account_created_dts,account_type,ams_first_funded_dts,initial_deposit_amount,sum_deposits,cnt_deposits
7035,cd8e5254-02f3-449d-a9d0-b5071263fcc1,DE,MALE,DE,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-08 20:03:19.282,SERIOUS_BUX,2017-02-22 16:00:56.000,50.0000000,450.0000000,3.0
7036,cd9ed435-75dc-4140-a848-754cfa7cbcd1,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-09 06:08:26.021,FUN_BUX,,,,
7037,cdcef173-d664-453c-8624-90635e9b3317,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-03 21:30:43.562,FUN_BUX,,,,
7038,cdcf4f70-15ee-4351-890c-437d4962240a,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-02 01:20:13.166,FUN_BUX,,,,
7039,cdd8d7d6-67be-4446-8010-0e5dd35adbbf,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 18:19:16.539,FUN_BUX,,,,
7040,ce185445-5c9f-40a5-b3a1-db3b119ecf5c,DE,MALE,DE,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-03 16:00:53.615,FUN_BUX,,,,
7041,ce2f29fe-ded3-408c-9624-897ec7c52079,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-06 18:51:39.440,FUN_BUX,,,,
7042,ce555ba9-fa5e-43e8-a49c-4eaad3a48b1a,DE,MALE,DE,iOS,NONE,Rookie Trader,TV,2017-02-10 11:31:09.227,FUN_BUX,,,,
7043,ce814c98-5da4-4ef2-8ae1-d1248b98dc9a,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-01 08:38:14.875,FUN_BUX,,,,
7044,cec3a510-9eff-41e2-81b9-8205e2de5852,DE,,,iOS,NONE,Rookie Trader,Off-Facebook Installs,2017-02-01 06:25:34.736,FUN_BUX,,,,
7045,cee99810-d213-448f-a9a6-aaae970c18d0,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-04 09:19:11.651,FUN_BUX,,,,
7046,cef681b9-fb3d-42da-b7fa-4dd1c8bc2996,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-01 16:30:06.713,FUN_BUX,,,,
7047,cf2709db-0523-438c-8021-9073c0b5b8a9,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-03 14:02:51.272,FUN_BUX,,,,
7048,cf4be40a-ea81-4793-b407-009e0c9105cf,DE,,,iOS,SOME,Experienced Trader,Organic,2017-02-08 20:58:42.190,FUN_BUX,,,,
7049,cf559de0-6647-46ab-aa8b-8084d8a862fe,DE,,,iOS,SOME,Experienced Trader,Google Adwords Display,2017-02-04 15:20:04.278,FUN_BUX,,,,
7050,cf7aa8b7-35a0-4070-b771-e5d23f7590c7,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-05 18:28:53.158,FUN_BUX,,,,
7051,cfbe8537-3153-4220-ba67-5017bcbfcc8d,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-06 16:38:32.940,FUN_BUX,2017-12-12 20:55:33.000,200.0000000,200.0000000,1.0
7052,d085e5ce-85ba-4f67-9f35-6066c628bac8,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-05 18:08:18.239,FUN_BUX,,,,
7053,d0bf62e9-2c97-443a-95a8-2b8ef70cf8b3,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-04 14:18:08.727,FUN_BUX,,,,
7054,d151e2d1-16d0-442d-a1c1-e251cfbb856d,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-08 17:21:06.172,FUN_BUX,,,,
7055,d15dd887-483f-4e9b-8c8e-8cc29ee05c40,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-02 20:58:31.092,FUN_BUX,,,,
7056,d1773fae-57f5-419c-951a-bb6d0ed78c8a,DE,,,iOS,SOME,Experienced Trader,TV,2017-02-08 19:12:39.720,FUN_BUX,,,,
7057,d1a4ab94-208a-4001-b75f-9621fee39eb8,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 17:25:17.030,FUN_BUX,,,,
7058,d1c1a4bd-a728-419d-8fb8-0f7c0c95f5c2,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-06 20:23:43.820,FUN_BUX,,,,
7059,d1ffe096-44a3-4925-8b0a-5bc4c914f77d,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-05 19:51:50.338,FUN_BUX,,,,
7060,d21f3ac1-d86e-4888-9d1a-51f902df6533,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-01 14:16:38.575,FUN_BUX,,,,
7061,d22e81d0-de15-4050-9cfe-fc76678c44a2,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-07 21:22:22.693,FUN_BUX,,,,
7062,d23f0252-1060-486e-88f3-e5964eeb46e0,DE,FEMALE,DE,iOS,NONE,Rookie Trader,Viral Invites,2017-02-06 17:25:56.928,FUN_BUX,,,,
7063,d259f944-5e62-4d34-a716-6fe42aefcca0,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-06 17:25:50.031,FUN_BUX,,,,
7064,d27517b9-ee27-4564-9bbb-ac0bd9799d51,DE,,,iOS,SOME,Experienced Trader,Viral Invites,2017-02-04 20:04:33.715,FUN_BUX,,,,
7065,d2da3ac2-419d-4652-9e7a-fa9b93e6defe,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 12:28:58.066,FUN_BUX,,,,
7066,d2e018c6-5676-400a-aa39-8c9bda1b5e57,DE,MALE,DE,iOS,SOME,Experienced Trader,Organic,2017-02-09 17:39:21.631,SERIOUS_BUX,2018-02-01 12:11:30.000,50.0000000,50.0000000,1.0
7067,d3004b42-e97d-446d-95c1-0201e7584433,DE,,,iOS,NONE,Rookie Trader,Off-Facebook Installs,2017-02-03 14:33:26.308,FUN_BUX,,,,
7068,d302d8b8-c72f-42af-96f6-d3ec87b9edeb,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-09 12:07:19.512,FUN_BUX,,,,
7069,d314c5d3-7c2c-447a-9644-d22be0cf285e,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-10 10:12:20.270,FUN_BUX,,,,
7070,d32856df-1891-45e9-8087-184526623eed,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-01 13:42:04.323,FUN_BUX,,,,
7071,d32edb23-09c4-4a00-bef0-faafe92c529e,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-10 17:49:59.083,FUN_BUX,,,,
7072,d335ffe2-fcd1-4c73-96a3-169349a85417,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-06 15:02:08.554,FUN_BUX,,,,
7073,d368810a-0019-4d8e-b1e0-85e862812223,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-04 09:50:59.259,FUN_BUX,,,,
7074,d36f1198-5e79-49ce-aaa1-2b349ddc9b4a,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-09 19:40:00.850,FUN_BUX,,,,
7075,d38ba9f2-c1e1-469a-b7d3-291245b26bd8,DE,,,iOS,NONE,Rookie Trader,Instagram Installs,2017-02-06 16:44:14.418,FUN_BUX,,,,
7076,d3ab323c-62d2-4d4c-8507-edb932cd6fb8,DE,MALE,DE,iOS,SOME,Experienced Trader,Appnext,2017-02-09 17:34:56.870,FUN_BUX,,,,
7077,d3fbb63c-b9cf-417f-95ee-efff3b4a1108,DE,,,iOS,NONE,Rookie Trader,Facebook Installs,2017-02-02 09:06:23.327,FUN_BUX,,,,
7078,d45cecb9-71e0-40a1-9294-4b32a732881e,DE,,,iOS,NONE,Rookie Trader,Organic,2017-02-05 22:53:52.183,FUN_BUX,,,,
7079,d464d19b-600f-4533-983e-157f024a81fc,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-06 13:11:17.003,FUN_BUX,,,,
7080,d485beb7-a109-4548-84d3-7bc850512a1a,DE,,,iOS,SOME,Experienced Trader,Facebook Installs,2017-02-01 00:22:53.981,FUN_BUX,,,,
7081,d4bd0751-60a5-48dc-9eae-e1650dc8ba9e,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-02 12:54:44.077,FUN_BUX,,,,
7082,d4c41639-8722-4aae-b883-2f28a269ed05,DE,,,iOS,NONE,Rookie Trader,TV,2017-02-02 20:38:06.762,FUN_BUX,,,,
7083,d53e5291-b335-482a-8650-738e1852c14c,DE,,,iOS,NONE,Rookie Trader,Viral Invites,2017-02-07 14:37:12.138,FUN_BUX,,,,
7084,d56ae0ed-ea20-477a-ac17-10fad9951626,DE,,,iOS,NONE,Rookie Trader,Appnext,2017-02-06 16:08:15.853,FUN_BUX,,,,
